opcao_data;opcao_tipo;opcao_ticker;opcao_cotacao;opcao_origem
26/09/2024;Acao;RENT3;41,78;Excel
26/09/2024;Opcao;RENTV392;0,48;Excel
26/09/2024;Opcao;RENTV391;0,36;Excel
26/09/2024;Opcao;RENTV381;0,21;Excel
26/09/2024;Opcao;RENTV372;0,18;Excel
26/09/2024;Opcao;RENTV401;0,45;Excel
26/09/2024;Opcao;RENTV382;0,23;Excel
26/09/2024;Opcao;RENTV480;4,28;Excel
26/09/2024;Opcao;RENTV470;3,26;Excel
26/09/2024;Opcao;RENTV457;3,26;Excel
26/09/2024;Opcao;RENTV45;3,17;Excel
26/09/2024;Opcao;RENTV460;3,24;Excel
26/09/2024;Opcao;RENTV447;2,63;Excel
26/09/2024;Opcao;RENTV450;2,51;Excel
26/09/2024;Opcao;RENTV437;2,04;Excel
26/09/2024;Opcao;RENTV440;1,81;Excel
26/09/2024;Opcao;RENTV427;1,57;Excel
26/09/2024;Opcao;RENTV430;1,36;Excel
26/09/2024;Opcao;RENTV417;1,14;Excel
26/09/2024;Opcao;RENTV409;0,86;Excel
26/09/2024;Opcao;RENTV420;0,96;Excel
26/09/2024;Opcao;RENTV407;0,82;Excel
26/09/2024;Opcao;RENTV410;0,62;Excel
